destination_id,n_vehicles
AK,79623
AL,499789
AR,293651
AZ,973829
CA,7924266
CO,948684
CT,432893
DC,78271
DE,127526
FL,2487358
GA,1148154
HI,198931
IA,389772
ID,276894
IL,1435568
IN,721508
KS,324645
KY,454723
LA,382438
MA,972876
MD,815480
ME,206594
MI,1033086
MN,736741
MO,639337
MS,258574
MT,137080
NC,1199516
ND,85483
NE,236132
NH,215859
NJ,1041411
NM,264327
NV,397145
NY,1807183
OH,1238645
OK,371809
OR,802106
PA,1423884
RI,126925
SC,563294
SD,108485
TN,770360
TX,3128416
UT,462768
VA,1187016
VT,121166
WA,1484142
WI,731403
WV,177478
WY,76756
