destination_id,n_vehicles
AK,58455
AL,311951
AR,187833
AZ,779816
CA,7325066
CO,790268
CT,337687
DC,72984
DE,96836
FL,1901620
GA,812007
HI,173152
IA,274304
ID,210508
IL,1094408
IN,501436
KS,229191
KY,303118
LA,229023
MA,808126
MD,678519
ME,163795
MI,724119
MN,557933
MO,449470
MS,150093
MT,101970
NC,884613
ND,53488
NE,163237
NH,171305
NJ,817424
NM,200540
NV,322211
NY,1417915
OH,859448
OK,243138
OR,716057
PA,1061303
RI,97417
SC,375871
SD,71705
TN,527104
TX,2225658
UT,378216
VA,951750
VT,104298
WA,1335562
WI,531762
WV,115207
WY,51083
