destination_id,n_vehicles
AK,53077
AL,282998
AR,170254
AZ,708510
CA,6664725
CO,718639
CT,307434
DC,66555
DE,88079
FL,1728864
GA,737771
HI,157298
IA,249012
ID,191037
IL,995605
IN,455444
KS,208063
KY,275215
LA,207624
MA,735634
MD,617525
ME,148788
MI,657337
MN,507090
MO,408161
MS,136087
MT,92526
NC,803939
ND,48459
NE,148148
NH,155706
NJ,744391
NM,181989
NV,292988
NY,1290581
OH,781045
OK,220369
OR,650995
PA,965289
RI,88686
SC,341369
SD,64975
TN,478610
TX,2020002
UT,343625
VA,865644
VT,94794
WA,1214839
WI,483288
WV,104630
WY,46287
