state,ipm_region,allocated_vehicle_proxy,state_vehicle_total,weight
AL,S_SOU,2882248.521997644,3868796.4017290585,0.7449987600044028
AL,S_C_TVA,986537.0217099546,3868796.4017290585,0.25499843343243583
AL,MIS_D_MS,10.85802145950427,3868796.4017290585,2.8065631612590308e-06
AR,MIS_AR,1313550.2384244155,2249150.0,0.5840207360222375
AR,SPP_WEST,935391.4271649452,2249150.0,0.41588663591354297
AR,S_D_AECI,82.0109541476526,2249150.0,3.64630878988296e-05
AR,S_C_TVA,56.237092994955304,2249150.0,2.5003709399086458e-05
AR,SPP_N,30.60334577125316,2249150.0,1.3606627290866843e-05
AR,MIS_D_MS,21.8958794581512,2249150.0,9.735179715959896e-06
AR,MIS_LA,17.587138267381377,2249150.0,7.819459914803982e-06
AZ,WECC_AZ,5266456.263444045,5266569.712592577,0.9999784586258754
AZ,WECC_IID,38.11971161559822,5266569.712592577,7.238053172343372e-06
AZ,WECC_SNV,36.293749852867705,5266569.712592577,6.891345189277171e-06
AZ,WECC_UT,27.180239039952387,5266569.712592577,5.16089988801693e-06
AZ,WECC_SCE,6.673686191019562,5266569.712592577,1.2671789333885612e-06
AZ,WECC_NM,5.149601745040278,5266569.712592577,9.777904833818826e-07
AZ,WECC_NNV,0.03216008773470626,5266569.712592577,6.106458186209938e-09
CA,WEC_CALN,9152448.19785868,26208786.27559913,0.34921297390943207
CA,WECC_SCE,7104068.376275368,26208786.27559913,0.2710567479765131
CA,WEC_LADW,6203275.658456734,26208786.27559913,0.236686872609286
CA,WEC_SDGE,2268591.35676949,26208786.27559913,0.08655842864732699
CA,WEC_BANC,1318483.5051866365,26208786.27559913,0.050306927277062395
CA,WECC_IID,97394.99170451514,26208786.27559913,0.00371611987981266
CA,WECC_PNW,64221.019569638265,26208786.27559913,0.0024503622141949107
CA,WECC_AZ,285.6790407610441,26208786.27559913,1.0900124780940987e-05
CA,WECC_NNV,9.849753374262677,26208786.27559913,3.7581875294366385e-07
CA,WECC_SNV,7.640983931232518,26208786.27559913,2.91542837996524e-07
CO,WECC_CO,4607584.010345904,4607635.0,0.9999889336603061
CO,WECC_WY,44.44683020146144,4607635.0,9.646343558346404e-06
CO,WECC_UT,2.892445176769397,4607635.0,6.277505003693646e-07
CO,WECC_NM,1.3121600810516731,4607635.0,2.8477951943929436e-07
CO,SPP_NEBR,0.9926995562513556,4607635.0,2.1544665674502335e-07
CO,SPP_N,0.9320973664840387,4607635.0,2.0229409805334813e-07
